Nama Merchant;Tanggal Transaksi;Nomor Transaksi;Nominal Transaksi;Tip;Harga;Total Terbayar;MDR;Tipe QR;Terminal;Issuer;Nomor Tagihan;No. Referensi Tagihan;Status;Status Pelimpahan Dana
Warung FIFGROUP 3;05/05/2026 11:19;INV/QRM/4B1VJ7/260505/2ECFY5S2;15000;0;15000;Rp15.000,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;05/05/2026 11:18;INV/QRM/4B1VJ7/260505/2E9WWX8S;23000;0;23000;Rp23.000,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;05/05/2026 11:09;INV/QRM/4B1VJ7/260505/2DM4XYDH;23000;0;23000;Rp23.000,00;0;STATIC;A001;93600472;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;05/05/2026 09:51;INV/QRM/4B1VJ7/260505/21E9L6H1;4000;0;4000;Rp4.000,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;05/05/2026 09:50;INV/QRM/4B1VJ7/260505/21BTYWQY;10000;0;10000;Rp10.000,00;0;STATIC;A001;SHOPEE;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;05/05/2026 09:48;INV/QRM/4B1VJ7/260505/215N5MO1;6000;0;6000;Rp6.000,00;0;STATIC;A001;93600472;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;05/05/2026 09:20;INV/QRM/4B1VJ7/260505/1Z15SUWR;15000;0;15000;Rp15.000,00;0;STATIC;A001;BANK_JAGO;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;04/05/2026 16:55;INV/QRM/4B1VJ7/260504/3JPRIKK9;17500;0;17500;Rp17.500,00;0;STATIC;A001;93600472;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;04/05/2026 16:19;INV/QRM/4B1VJ7/260504/3GXQY0IQ;10000;0;10000;Rp10.000,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;04/05/2026 16:18;INV/QRM/4B1VJ7/260504/3GURBNW6;20500;0;20500;Rp20.500,00;0;STATIC;A001;BCA;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;04/05/2026 16:05;INV/QRM/4B1VJ7/260504/3FUTDQCR;6500;0;6500;Rp6.500,00;0;STATIC;A001;BANK_JAGO;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;04/05/2026 15:42;INV/QRM/4B1VJ7/260504/3AZVYMD6;2500;0;2500;Rp2.500,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;04/05/2026 15:35;INV/QRM/4B1VJ7/260504/3AG5AALX;10000;0;10000;Rp10.000,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
